@id,@lon,@lat,name
309894643,21.4315704,41.9953933,Пелистер
411006922,21.4140669,41.9947432,Интермецо
459668143,21.4307036,42.0047876,Под Кале
459668914,21.4342799,41.9943261,Кај Џино
459669063,21.4350117,41.9952456,Плаза де Торос
481098096,21.3995191,42.0031464,Енрико
600905655,21.3926682,42.0028498,Две капки
908273433,21.4367576,42.0003099,Туpиcт
1371716593,21.4122694,41.9979155,Топаз
1372568001,21.3989291,42.0008550,Веки
1380378665,21.4078483,41.9997295,Рустикана
1380378702,21.4159820,41.9985008,Боеми
1577483516,21.3975417,42.0035286,Старо Буре
1747649203,21.4151525,41.9946274,Крчма
1748017584,21.4204907,41.9904847,Marana
1751563134,21.4245254,41.9947645,Pastel Wine & Dine
1752178268,21.4163482,41.9922398,511
1752186795,21.4086601,41.9972291,Акорд
1770866402,21.4207447,41.9987097,Пицерија Либертас
1867176020,21.4304595,41.9957062,Тренд
1868812117,21.4204170,41.9987420,Дестан
1868812169,21.3995909,42.0034064,Ана Кристи
1868933572,21.3992299,42.0017742,Фотка
1985948203,21.4165220,41.9922245,Balila
1999633538,21.4280088,41.9913688,Бифиња - Рамстор
2105387352,21.4252581,42.0001581,Бруклински
2159535851,21.4347685,41.9953199,Бела виста
2294320125,21.4080594,41.9931670,Два Елена
2322886873,21.4302915,41.9952825,Арабеска
2818872887,21.4145137,42.0051241,Сокаче
3101726040,21.4366005,42.0000179,Пивница АН
3341289789,21.4297981,41.9925716,Damaskino
3484100384,21.4231542,41.9917018,Dal Fufo - Galija
3505013893,21.4319604,41.9947506,Destan
3505013993,21.4317257,41.9950911,Ла Тераца
3506695093,21.3910004,42.0045421,Brooklyn Lounge Bar
3536179577,21.4099065,41.9953743,Носталгија
3599403566,21.4020366,41.9979148,Кај Маршалот
3648714485,21.4063144,42.0062651,Барбакан
3707090923,21.4170693,41.9972260,Еснаф кај даре
3832475135,21.4427246,41.9922973,Лезет
3832475147,21.4422139,41.9922032,Кај Злате
4004645106,21.4301301,41.9957324,Пекинг Гарден
4126731965,21.4345770,41.9973163,Sky ресторанот
4149490289,21.4300742,41.9933026,Amigos Мексиканска Кантина
4195733217,21.4338587,41.9955972,Соул кичен
4275843195,21.4160063,41.9969599,Лавче
4302211290,21.4002154,42.0030463,Бабе
4327921318,21.3986642,42.0034137,Thong Thai
4346542839,21.4301208,41.9927317,Lounge Bar & Restaurant "Square 21"
4436518191,21.4362461,41.9996618,Kaj Serdarot
4436534289,21.4360810,41.9996701,Destan
4436534489,21.4355402,41.9994953,Австриска палта
4459578969,21.4355402,41.9949989,Амика
4471884330,21.4272930,42.0059792,Four
4481662566,21.4335119,41.9957030,Дион
4491144570,21.3936186,42.0045887,Срна
4531682389,21.4021635,41.9959806,Македонска куќа
4756328632,21.4295835,41.9932432,GastrotecaSiesta
4838686622,21.4069546,42.0060914,Bonimi
4920962547,21.3878449,42.0038168,Domino's
5019758021,21.4280925,42.0039853,Парк
5033108253,21.4191901,42.0005946,Кантина
5131832941,21.4276093,41.9948293,7 Скара Ресторан
5224224121,21.4223088,41.9916485,Gostilnica Gurman
5268700370,21.3931934,42.0044372,Pizza Jakomo
5289706561,21.4276864,41.9913338,Star Ocean
5292130848,21.4149006,42.0005187,Fitness house
5548809221,21.4366123,41.9995926,кај сердарот
5572053321,21.4205747,42.0013292,Дебар Маало
5624670966,21.4235595,42.0023813,МЦМ Мезе Бар
5624682355,21.4239655,42.0028235,Костарика
5624682356,21.4242333,42.0033660,Калабалак
5624682357,21.4240111,42.0028813,Старо Скупи
5624682358,21.4240218,42.0030128,Занзибар
5626432520,21.4210921,42.0013712,Идадија
5626433431,21.4214837,42.0014530,Наџак
5626433457,21.4206632,42.0010941,Zing
5626433480,21.4200490,42.0007591,Дебар Маало
5626433502,21.4208615,42.0014888,Кај Перо
5692608680,21.4236496,41.9990664,Gostilnica Estel
5789449053,21.4361151,41.9995917,СНОШТИ МИНАВ
5813417254,21.4200655,42.0009079,Кафана "Дебар Маало"
5840484087,21.4001853,42.0031615,Буре
6032865286,21.4371953,42.0002786,Pçela
6054050099,21.4135121,41.9947932,Воденица
6102488864,21.4199442,41.9959518,Restoran Frosina
6386335236,21.4362086,41.9996644,Kaj Гоце
6781335887,21.4360459,41.9993190,Kebapčilinica Rio
6788977446,21.4131738,41.9995518,Vega
6796436088,21.4381319,42.0015097,Сараево
6814231688,21.4364213,42.0006226,Tako mako
6814231700,21.4372514,42.0003594,Ohrid
6814231702,21.4285563,41.9969456,Markt kitchen
6814231793,21.4374652,42.0002543,Sac
6814236587,21.4224937,42.0019483,Skopsko
6814236621,21.4385882,42.0021120,Palas
6814245589,21.4219242,42.0017089,Schpajs
6814246691,21.4364430,42.0005272,Don Giovanni
6814246724,21.4373399,41.9999786,Concept
6815434691,21.4086507,41.9971719,Млечен Бар
6815454785,21.4244578,41.9945241,Букет
6815918386,21.4243264,41.9963262,Mosh
6815931392,21.4186405,42.0026188,Metzka
6821158588,21.4243092,41.9942446,Davidoff
6821158985,21.4300440,41.9934471,Amigos
6827032731,21.4415279,42.0027517,Pizzeria Bik
6827032733,21.4380383,42.0011296,Old Balkan
6827076186,21.4371206,42.0025774,Kursumli An
6830542186,21.4112093,42.0054082,Kaj chme
7001354685,21.4009703,42.0030579,Буре лептокарија
7027229685,21.4352029,41.9932950,Ресторан Национал
7093171485,21.4157772,42.0062237,Рок Кафана Рустикана 2.0
7130929832,21.4147058,42.0046693,Скадарлија
8094057485,21.4097614,41.9974684,Сидро
