@id,@lon,@lat,name
310289760,21.4167030,42.0001541,Броз Кафе
411008299,21.4232268,41.9948867,Benneton
411008532,21.4230113,41.9948604,AMG
411009859,21.4253358,41.9955693,Стрип
441057694,21.4082395,42.0051454,Cafeteria
459670767,21.4310013,41.9952414,Caffe Skopje
459670779,21.4301082,41.9933851,Ливинг Рум
459670881,21.4298360,41.9926530,Плеј Кафе
459673240,21.4162239,41.9934306,9
459801246,21.3999451,42.0031059,Мартини
459802458,21.4159604,42.0047028,Бугати
1355292490,21.4172620,42.0009888,Кафе Змија
1355306911,21.4175044,42.0007963,Кафе Филипос
1615830879,21.3983460,42.0034224,Fluid
1752184797,21.4091295,41.9972910,Ли
2054895230,21.4324491,41.9950653,Up Cafe
2814545377,21.4308204,41.9955477,Боката
2814545378,21.4308588,41.9949424,DRAMA coffee house Makedonija 41
2992591829,21.4370632,42.0017629,Cafe Old Bazaar
3101725379,21.4368849,41.9992410,Old Town
3101726037,21.4358699,42.0000003,Nargile Cafe
3103985004,21.4330712,41.9958677,Telekom Trend Lounge Bar
3341289752,21.4306195,41.9944452,Bistro Skopje
3341289753,21.4303650,41.9938562,Gnezdo
3341289786,21.4302256,41.9929701,Caffe Novo
3341289788,21.4298728,41.9927362,Caffe Bar Dolce Vita
3341289790,21.4293734,41.9923772,Corsso
3506696093,21.3909265,42.0041936,Trend Food Bar
3663767991,21.4150060,42.0038265,The Gallery
3663767992,21.4151255,42.0039722,MonAmi
3663767994,21.4151730,42.0040547,Жапон Кафе Бар
3663767995,21.4146731,42.0042809,Cafe Bela
3755532975,21.4127725,41.9994110,Концепт37
4059907155,21.4171739,41.9937283,Авантура
4234144690,21.4168806,41.9984995,Belier
4247226994,21.3910392,42.0048738,Juicy and Co
4304451302,21.4366103,41.9994358,Clique Bar
4327921320,21.3981384,42.0033204,Prikazna
4846704245,21.4271773,41.9954521,Крин
5110720231,21.4375923,42.0011325,Шиша
5176248987,21.4192046,41.9927714,Изи
5284221296,21.4216953,42.0013652,Laika
5288522422,21.4230134,41.9958526,Еу ејџ
5333583388,21.3991821,42.0034483,Giovani
5534803022,21.4218407,42.0023198,Кахава
5604182920,21.4253762,41.9986406,Винил
5690140438,21.4264143,41.9922468,DejaVu
5690140660,21.4266738,41.9922273,Istanbul
6032865285,21.4361778,42.0002555,k8
6054048726,21.4158769,42.0003534,Paladin M
6054048730,21.4113199,41.9956401,Woodstock
6089711779,21.3970638,42.0038026,Led Zeppelin
6145381755,21.3994796,42.0030494,Sugarland
6228007184,21.3937780,42.0045660,Krem
6307066053,21.4230080,42.0012294,fourplay
6374712571,21.4108497,42.0055031,Joy Café & Bakery
6451451785,21.4260361,41.9907255,Coffee O'Clock
6577887485,21.4263142,41.9992458,Веган365Кујна
6680280012,21.4368049,41.9994044,Boomerang Shisha
6802029812,21.4297354,41.9973064,Home Brews (very good coffee!)
6814231792,21.4370091,41.9999671,Urban
6814246723,21.4373153,41.9997970,Bomonti
6815434688,21.4225095,41.9967222,Toto
6815559888,21.4234973,41.9981835,Shakespeare Cafe
6815925985,21.4223059,41.9974479,Juicy&co
6815931287,21.4192379,42.0005998,Saphir
6815931391,21.4222629,42.0023667,Majahh
6821158386,21.4385935,42.0030613,Kairo
6821158388,21.4304151,41.9940274,Stay you
6821158389,21.4300488,41.9924937,JJ&S
6821158686,21.4346330,41.9976507,Mulliri
6821158695,21.4303890,41.9939851,MIG
6827032732,21.4381580,42.0009497,Gallery 7
6827074010,21.4402065,42.0027827,Sultan Kejf
7119714585,21.4134520,42.0019011,Рузвелт
